設定No,進行目安,種別,地域,マップKey,階層,設定ID,表示ラベル,text,座標,表示条件・関連ID,プロパティ,source,設定パス,修正案,編集メモ
254,第10段階以降 深淵,利用不可メッセージ,最果ての地カルメナ,CARMENA,MAP000054-00,,,二将が門を守っている。,"(19,0)",requiredFlag=abyssCarmenaGateCleared,lockedText,map.js,worldExits.0,,
255,第10段階以降 深淵,ストーリーLOG,混沌魔城レガシオン,,,abyss_legacion_alan_rejoin_phase8f,,アランが再び仲間に加わった。,,,LOG action,story.js:9082,actions.1.yes.6,,
256,第10段階以降 深淵,利用不可メッセージ,混沌魔城レガシオン,LEGACION,MAP000056-00,,,北門はまだ閉ざされている。,"(24,0)",requiredFlag=abyssLegacionNorthGateOpen,lockedText,map.js,worldExits.1,,
257,第10段階以降 深淵,利用不可メッセージ,混沌魔城レガシオン,LEGACION,MAP000056-00,,カジノに入る,店内はまだ準備中のようだ。,"(38,32)",requiredFlag=abyssEpilogueSeen,lockedText,map.js,mapActions.6,,
258,第10段階以降 深淵,利用不可メッセージ,混沌魔城レガシオン,LEGACION,MAP000056-00,,技法書を見る,深淵王との戦いを見届けた者だけが利用できる。,"(32,25)",requiredFlag=abyssEpilogueSeen,lockedText,map.js,mapActions.5,,
259,時期未確定・休眠/補助,ストーリーLOG,,,,abyss_jasper_clear,,アランが再び仲間に加わった。,,,LOG action,story.js:8950,actions.3.then.1.yes.6,,
260,時期未確定・休眠/補助,ストーリーLOG,,,,light_palace_alan_betrayal,,アランが離脱した。地下牢へ戻り、捕らわれていた人々を保護しよう。,,,LOG action,story.js:5989,actions.0.else.6,,
261,時期未確定・休眠/補助,ストーリーLOG,,,,abyss_jasper_clear,,アランは混沌魔城レガシオンへ戻った。,,,LOG action,story.js:8950,actions.3.then.1.no.2,,
262,時期未確定・休眠/補助,ストーリーLOG,,,,integration_altar_alan_clear_phase8e,,アランは生き残った。統合の祭壇中央の亀裂を調べよう。,,,LOG action,story.js:7540,actions.1.then.1.yes.4,,
263,時期未確定・休眠/補助,ストーリーLOG,,,,integration_altar_alan_clear_phase8e,,アランは統合の祭壇で命を落とした。中央の亀裂を調べよう。,,,LOG action,story.js:7540,actions.1.then.1.no.4,,
264,時期未確定・休眠/補助,ストーリーLOG,,,,quest_arisa_haine_clear,,アリサとハイネが仲間に加わった。水上都市へ戻ろう。,,,LOG action,story.js:6420,actions.5,,
265,時期未確定・休眠/補助,ストーリーLOG,,,,water_city_sophia,,クレナ鍾乳洞で青の結晶を探そう。,,,LOG action,story.js:7891,actions.7,,
266,時期未確定・休眠/補助,ストーリーLOG,,,,light_palace_flashback_escape_end,,クロードの回想を聞き終えた。光の宮殿へ向かおう。,,,LOG action,story.js:7762,actions.5,,
267,時期未確定・休眠/補助,ストーリーLOG,,,,thunder_veld_loss,,ジョセフが同行した。大灯台へ向かおう。,,,LOG action,story.js:8102,actions.8,,
268,時期未確定・休眠/補助,ストーリーLOG,,,,thunder_fort_demon_assault_arrival,,バロンたちと合流し、救護区画へ進む魔王軍を退けよう。,,,LOG action,story.js:6022,actions.3,,
269,時期未確定・休眠/補助,ストーリーLOG,,,,rexnote_regulus_clear,,レクスノートの魔道書をアランへ届けよう。,,,LOG action,story.js:7307,actions.5,,
270,時期未確定・休眠/補助,ストーリーLOG,,,,water_city_riot_wave_4_clear,,中央広場へ向かい、最後の暗黒騎士部隊を止めよう。,,,LOG action,story.js:7159,actions.2,,
271,時期未確定・休眠/補助,ストーリーLOG,,,,water_city_riot_wave_2_clear,,中央水路へ急ぎ、避難路を確保しよう。,,,LOG action,story.js:7121,actions.2,,
272,時期未確定・休眠/補助,ストーリーLOG,,,,abyss_spirit_trial_fire_intro,,今は試練を受けないことにした。,,,LOG action,story.js:,actions.2.no.0,,
273,時期未確定・休眠/補助,ストーリーLOG,,,,abyss_final_altar_encounter,,六つの結晶片が震えるだけで、祭壇の圧に押し戻される。結晶樹へ戻ろう。,,,LOG action,story.js:8985,actions.0.then.0.then.0.else.0,,
274,時期未確定・休眠/補助,ストーリーLOG,,,,abyss_spirit_trials_octaprism_grant,,六つの結晶片を持ち、結晶樹の秘跡へ戻ろう。,,,LOG action,story.js:,actions.0.then.0.then.2,,
275,時期未確定・休眠/補助,ストーリーLOG,,,,abyss_final_altar_encounter,,六精霊すべての加護を得るまでは、終焉の祭壇の力に抗えそうにない。,,,LOG action,story.js:8985,actions.0.then.0.else.0,,
276,時期未確定・休眠/補助,ストーリーLOG,,,,thunder_fort_demon_assault_wave1_clear,,別働隊が救護区画へ回った。マリーたちと合流しよう。,,,LOG action,story.js:6038,actions.2,,
277,時期未確定・休眠/補助,ストーリーLOG,,,,water_city_riot_wave_3_clear,,北側の橋へ回り、負傷者の退路を守ろう。,,,LOG action,story.js:7140,actions.2,,
278,時期未確定・休眠/補助,ストーリーLOG,,,,abyss_carmena_gate_clear,,北門の二将の討伐記録を確認できなかった。門はまだ閉ざされている。,,,LOG action,story.js:8893,actions.0.else.0,,
279,時期未確定・休眠/補助,ストーリーLOG,,,,light_palace_overpower_clear,,地下牢に囚われた人々の様子を確かめよう。,,,LOG action,story.js:6229,actions.4,,
280,時期未確定・休眠/補助,ストーリーLOG,,,,light_palace_clear,,地下牢に囚われた人々の様子を確かめよう。,,,LOG action,story.js:6289,actions.4,,
281,時期未確定・休眠/補助,ストーリーLOG,,,,light_palace_check_prison_rescue,,地下牢の主要な生存者を確認した。光の祭壇へ進もう。,,,LOG action,story.js:5952,actions.0.else.0.then.0.then.0.then.3,,
282,時期未確定・休眠/補助,ストーリーLOG,,,,quest_fire_holy_water_clear,,妖精の聖水を得た。イグナ火山へ戻ろう。,,,LOG action,story.js:6332,actions.4,,
283,時期未確定・休眠/補助,ストーリーLOG,,,,start_boss_clear,,巨大な化け物を打ち倒した…！,,,LOG action,story.js:5519,actions.3,,
284,時期未確定・休眠/補助,ストーリーLOG,,,,abyss_spirit_trial_fire_retry,,態勢を整えてから戻ることにした。,,,LOG action,story.js:,actions.1.no.0,,
285,時期未確定・休眠/補助,ストーリーLOG,,,,wind_forest_guardians_clear,,森の守護者が金の鍵を託した。森の奥にある風の神殿の石門へ向かおう。,,,LOG action,story.js:6924,actions.5,,
286,時期未確定・休眠/補助,ストーリーLOG,,,,water_temple_clear,,水上都市で暗黒騎士が暴動を起こした。急いで街へ戻ろう。,,,LOG action,story.js:8007,actions.7,,
287,時期未確定・休眠/補助,ストーリーLOG,,,,thunder_fort_luna_awakening,,水上都市のソフィアを訪ね、結晶樹へ至る手掛かりを聞こう。,,,LOG action,story.js:6053,actions.0.else.9,,
288,時期未確定・休眠/補助,ストーリーLOG,,,,water_city_riot_suppressed,,水上都市の暴動は鎮圧された。街の様子を確かめ、ソフィアと話そう。,,,LOG action,story.js:7178,actions.6,,
289,時期未確定・休眠/補助,ストーリーLOG,,,,fire_volcano_glad_clear,,火のプリズムに炎の力が戻った。炎の里へ報告しよう。,,,LOG action,story.js:6757,actions.4,,
290,時期未確定・休眠/補助,ストーリーLOG,,,,big_tower_clear,,第一結界源を破壊した。雷の要塞へ戻り、海底火山への道を確かめよう。,,,LOG action,story.js:5582,actions.7,,
291,時期未確定・休眠/補助,ストーリーLOG,,,,dark_castle_clear,,第二次統合が始まった。奈落への洞窟を越え、統合の祭壇へ急ごう。,,,LOG action,story.js:6315,actions.11,,
292,時期未確定・休眠/補助,ストーリーLOG,,,,undersea_grad_clear,,第二結界源を破壊した。雷の要塞へ戻ろう。,,,LOG action,story.js:7684,actions.6,,
293,時期未確定・休眠/補助,ストーリーLOG,,,,abyss_azelgarag_clear,,終焉の祭壇には、なお深い亀裂が残っている・・・,,,LOG action,story.js:,actions.8,,
294,時期未確定・休眠/補助,ストーリーLOG,,,,abyss_floor_100_epilogue,,終焉の祭壇へ至る道を探し、深淵王の影を断とう。,,,LOG action,story.js:8046,actions.4,,
295,時期未確定・休眠/補助,ストーリーLOG,,,,thunder_veld_forced_loss,,結界を解くため、大灯台へ向かおう。,,,LOG action,story.js:8056,actions.8,,
296,時期未確定・休眠/補助,ストーリーLOG,,,,water_city_riot_wave_1_clear,,西の船渠へ向かい、暴動した暗黒騎士を止めよう。,,,LOG action,story.js:7102,actions.2,,
297,時期未確定・休眠/補助,ストーリーLOG,,,,sea_temple_gate_clear,,鍵束を入手した。海底神殿の水門へ進もう。,,,LOG action,story.js:7952,actions.2,,
298,時期未確定・休眠/補助,ストーリーLOG,,,,thunder_armor_gate_clear,,隔壁が開いた。雷の制御炉へ向かおう。,,,LOG action,story.js:5676,actions.2,,
299,時期未確定・休眠/補助,ストーリーLOG,,,,quest_water_blue_crystal_clear,,青の結晶を得た。水上都市のソフィアへ届けよう。,,,LOG action,story.js:6342,actions.4,,
300,時期未確定・休眠/補助,ストーリーLOG,,,,wind_temple_clear,,風のプリズムに聖なる風が戻った。西の水上都市へ向かおう。,,,LOG action,story.js:6991,actions.5,,
301,時期未確定・休眠/補助,ストーリーLOG,,,,light_palace_liberation_after_betrayal,,魔王軍が雷の要塞へ侵入した。ルーナのいる救護区画へ急ごう。,,,LOG action,story.js:6008,actions.8,,
302,時期未確定・休眠/補助,マップログ,ガルヴァニア帝国,GALVANIA_EMPIRE,MAP000075-00,,品物を見る,閉じられていた商品箱が開かれ、旅の補給品が並んでいる。,,,log,map.js,mapActors.0.states.0.action,,
303,時期未確定・休眠/補助,マップログ,ガルヴァニア帝国,GALVANIA_EMPIRE,MAP000075-00,,城壁を見上げる,城壁の傷は外からの攻撃だけではない。帝国のさらに奥側へ向けて補修された箇所もある。,"(27,9)",,log,map.js,mapActions.3,,
304,時期未確定・休眠/補助,マップログ,ガルヴァニア帝国,GALVANIA_EMPIRE,MAP000075-00,,工兵と話す,"魔族工兵「そこ踏むな。まだ固まってない。」
壁の亀裂は、外からではなく帝国の深部側から押し広げられたように見える。",,,log,map.js,mapActors.6.states.0.action,,
305,時期未確定・休眠/補助,マップログ,ガルヴァニア帝国,GALVANIA_EMPIRE,MAP000075-00,,店先を見る,店主は商品箱を閉じたまま、こちらを警戒している。今は取引する気はないようだ。,,,log,map.js,mapActors.0.states.1.action,,
306,時期未確定・休眠/補助,マップログ,ガルヴァニア帝国,GALVANIA_EMPIRE,MAP000075-00,,店先を見る,防具職人は帳面を閉じた。城の緊張が解けるまでは、客として扱う気はないようだ。,,,log,map.js,mapActors.2.states.1.action,,
307,時期未確定・休眠/補助,マップログ,ガルヴァニア帝国,GALVANIA_EMPIRE,MAP000075-00,,救護区画を調べる,簡素な担架と薬箱が並ぶ。負傷兵を収容するための区画らしい。,"(8,20)",,log,map.js,mapActions.1,,
308,時期未確定・休眠/補助,マップログ,ガルヴァニア帝国,GALVANIA_EMPIRE,MAP000075-00,,武器を見る,止まっていた炉に火が入り、魔族の鍛冶師が武器を並べている。,,,log,map.js,mapActors.1.states.0.action,,
309,時期未確定・休眠/補助,マップログ,ガルヴァニア帝国,GALVANIA_EMPIRE,MAP000075-00,,補給倉庫を調べる,兵糧と修繕材が大量に積まれている。遠征の戦利品というより、長期防衛用の備蓄に見える。,"(46,20)",,log,map.js,mapActions.2,,
310,時期未確定・休眠/補助,マップログ,ガルヴァニア帝国,GALVANIA_EMPIRE,MAP000075-00,,鍛冶場を見る,炉は落とされ、武器は鎖で固定されている。鍛冶師は無言でこちらを見返した。,,,log,map.js,mapActors.1.states.1.action,,
311,時期未確定・休眠/補助,マップログ,ガルヴァニア帝国,GALVANIA_EMPIRE,MAP000075-00,,防具を見る,補修を終えた鎧や盾が、店先へ整然と並べ直されている。,,,log,map.js,mapActors.2.states.0.action,,
312,時期未確定・休眠/補助,マップログ,ガルヴァニア帝国,GALVANIA_EMPIRE,MAP000075-00,,魔王城へ入る,帝国中央の高台に、魔王城の正門がそびえている。,"(27,3)",requiredFlag=crystalTreeCleared,log,map.js,mapActions.0,,
313,時期未確定・休眠/補助,マップログ,ガルヴァニア渓谷,GALVANIA_GORGE,MAP000074-00,,,魔王軍の城壁と巨大な門扉が渓谷を完全に塞いでいる。今は越えられない。,"(24,12)",missingFlag=crystalTreeCleared,log,map.js,blockingObjects.0,,
314,時期未確定・休眠/補助,マップログ,ガルヴァニア渓谷,GALVANIA_GORGE,MAP000074-00,,,魔王軍の城壁と巨大な門扉が渓谷を完全に塞いでいる。今は越えられない。,"(24,13)",missingFlag=crystalTreeCleared,log,map.js,blockingObjects.1,,
315,時期未確定・休眠/補助,マップログ,ガルヴァニア渓谷,GALVANIA_GORGE,MAP000074-00,,,魔王軍の城壁と巨大な門扉が渓谷を完全に塞いでいる。今は越えられない。,"(24,14)",missingFlag=crystalTreeCleared,log,map.js,blockingObjects.2,,
316,時期未確定・休眠/補助,マップログ,ガルヴァニア渓谷,GALVANIA_GORGE,MAP000074-00,,,魔王軍の城壁と巨大な門扉が渓谷を完全に塞いでいる。今は越えられない。,"(24,15)",missingFlag=crystalTreeCleared,log,map.js,blockingObjects.3,,
317,時期未確定・休眠/補助,マップログ,ガルヴァニア渓谷,GALVANIA_GORGE,MAP000074-00,,,魔王軍の城壁と巨大な門扉が渓谷を完全に塞いでいる。今は越えられない。,"(24,16)",missingFlag=crystalTreeCleared,log,map.js,blockingObjects.4,,
318,時期未確定・休眠/補助,マップログ,ガルヴァニア渓谷,GALVANIA_GORGE,MAP000074-00,,,魔王軍の城壁と巨大な門扉が渓谷を完全に塞いでいる。今は越えられない。,"(24,17)",missingFlag=crystalTreeCleared,log,map.js,blockingObjects.5,,
319,時期未確定・休眠/補助,マップログ,ガルヴァニア渓谷,GALVANIA_GORGE,MAP000074-00,,,魔王軍の城壁と巨大な門扉が渓谷を完全に塞いでいる。今は越えられない。,"(24,18)",missingFlag=crystalTreeCleared,log,map.js,blockingObjects.6,,
320,時期未確定・休眠/補助,マップログ,ガルヴァニア渓谷,GALVANIA_GORGE,MAP000074-00,,倒れた魔族を調べる,魔族はすでに息をしていない。,,,log,map.js,mapActors.0.states.1.action,,
321,時期未確定・休眠/補助,マップログ,ガルヴァニア渓谷,GALVANIA_GORGE,MAP000074-00,,城門を調べる,魔王軍の城壁と巨大な門扉が渓谷を完全に塞いでいる。今は越えられない。,"(24,15)",missingFlag=crystalTreeCleared,log,map.js,mapActions.0,,
322,時期未確定・休眠/補助,マップログ,ガルヴァニア渓谷,GALVANIA_GORGE,MAP000074-00,,崩れた防壁を調べる,防壁には古い補修跡が幾重にも重なっている。最近造られたものではない。,"(17,11)",requiredFlag=crystalTreeCleared,log,map.js,mapActions.2,,
323,時期未確定・休眠/補助,マップログ,ガルヴァニア渓谷,GALVANIA_GORGE,MAP000074-00,,破壊された城門を調べる,魔王軍の巨大な門扉と城壁が、凄まじい力で打ち砕かれている。誰が破ったのかは分からない。,"(24,15)",requiredFlag=crystalTreeCleared,log,map.js,mapActions.1,,
324,時期未確定・休眠/補助,マップログ,クレナ鍾乳洞,CRENA_LIMESTONE_CAVE,1,,王国兵に話す,王国軍が鍾乳洞を調査中だ。安全が確認できるまで、これ以上先へは通せない。,,,log,map.js,mapActors.0.states.0.action,,
325,時期未確定・休眠/補助,移動・操作メッセージ,クレナ鍾乳洞,CRENA_LIMESTONE_CAVE,1,crena_claw,,爪痕の主が襲いかかる！,"(6,18)",,message,map.js,tileEffects.2,,
326,時期未確定・休眠/補助,移動・操作メッセージ,クレナ鍾乳洞,CRENA_LIMESTONE_CAVE,1,,,結晶光が元の足場へ引き戻した。,"(19,9)",,message,map.js,tileEffects.1,,
327,時期未確定・休眠/補助,移動・操作メッセージ,クレナ鍾乳洞,CRENA_LIMESTONE_CAVE,1,,,結晶光が鍾乳洞の反対側へ運んだ。,"(8,10)",,message,map.js,tileEffects.0,,
328,時期未確定・休眠/補助,マップログ,クレナ鍾乳洞,CRENA_LIMESTONE_CAVE,2,,リーシアに話す,リーシアが結界の前で奥の魔力を探っている。,,questId=licia_crena_depths,log,map.js,mapActors.0.states.0.action,,
329,時期未確定・休眠/補助,利用不可メッセージ,クレナ鍾乳洞,CRENA_LIMESTONE_CAVE,2,,リーシアに話す,闇の加護がなければ、この結界の奥は見えない。,,questId=licia_crena_depths,lockedText,map.js,mapActors.0.states.0.action,,
330,時期未確定・休眠/補助,移動・操作メッセージ,クレナ鍾乳洞,CRENA_LIMESTONE_CAVE,2,,,結晶光が戻り道を開いた。,"(24,14)",,message,map.js,tileEffects.1,,
331,時期未確定・休眠/補助,移動・操作メッセージ,クレナ鍾乳洞,CRENA_LIMESTONE_CAVE,2,,,結晶光が空間を曲げた。,"(3,5)",,message,map.js,tileEffects.0,,
332,時期未確定・休眠/補助,調査ログ,クレナ鍾乳洞,CRENA_LIMESTONE_CAVE,2,,結晶を守る魔物に挑む,青い結晶の前に、鋭い爪痕を残した魔物が佇んでいる。,"(13,5)",monsterId=301021,inspectLog,map.js,bosses.0,,
333,時期未確定・休眠/補助,進行制限ログ,クレナ鍾乳洞,CRENA_LIMESTONE_CAVE,2,,地下3階へ下りる,巧妙な結界に阻まれている。,"(23,10)",requiredFlag=darkCastleCleared,lockedLog,map.js,floorLinks.1,,
334,時期未確定・休眠/補助,マップログ,クレナ鍾乳洞,CRENA_LIMESTONE_CAVE,3,,上層小部屋の封晶を砕く,封晶のひとつにヒビが入った。,"(5,6)",,log,map.js,mapActions.0,,
335,時期未確定・休眠/補助,マップログ,クレナ鍾乳洞,CRENA_LIMESTONE_CAVE,3,,南東の封晶を砕く,封晶のひとつを砕いた。,"(24,20)",,log,map.js,mapActions.1,,
336,時期未確定・休眠/補助,移動・操作メッセージ,クレナ鍾乳洞,CRENA_LIMESTONE_CAVE,3,,,結界の膜を滑った。,,,message,map.js,tileEffects.1,,
337,時期未確定・休眠/補助,移動・操作メッセージ,クレナ鍾乳洞,CRENA_LIMESTONE_CAVE,3,crena_barrier_guard,,結界守が迫る！,"(24,19)",,message,map.js,tileEffects.2,,
338,時期未確定・休眠/補助,移動・操作メッセージ,クレナ鍾乳洞,CRENA_LIMESTONE_CAVE,3,,,結界毒が体を蝕む！,,,message,map.js,tileEffects.0,,
339,時期未確定・休眠/補助,移動・操作メッセージ,クレナ鍾乳洞,CRENA_LIMESTONE_CAVE,4,crena_core_guard,,結界核の守り手が迫る！,"(25,16)",,message,map.js,tileEffects.1,,
340,時期未確定・休眠/補助,移動・操作メッセージ,クレナ鍾乳洞,CRENA_LIMESTONE_CAVE,4,,,結界核の毒光が肌を焼く！,,,message,map.js,tileEffects.0,,
341,時期未確定・休眠/補助,調査ログ,クレナ鍾乳洞,CRENA_LIMESTONE_CAVE,4,,結界核を砕く,リーシアの魔力が、結界核の奥で苦しげに揺れている。,"(14,7)","questId=licia_crena_depths; monsterId=[852, 901, 852]",inspectLog,map.js,bosses.0,,
342,時期未確定・休眠/補助,進行制限ログ,夢幻回廊リドパルム,RIDPALM_DREAM_CORRIDOR,6,,災禍の根ジャゴレアへ進む,黒騎士の力が道を塞いでいる。,"(14,18)",requiredFlag=abyssVeldDefeated,lockedLog,map.js,floorLinks.1,,
343,時期未確定・休眠/補助,ストーリーLOG,大灯台,,,lighthouse_zelied_story_intro,,ゼリードは大灯台の裏設備に詳しいようだ。,,,LOG action,story.js:7607,actions.2,,
344,時期未確定・休眠/補助,マップログ,大灯台,BIG_TOWER,1,,ゼリードと話す,ゼリードは灯台の増設部分を観察している。,,eventId=lighthouse_zelied_story_support,log,map.js,mapActors.0.states.1.action,,
345,時期未確定・休眠/補助,マップログ,大灯台,BIG_TOWER,1,,ゼリードと話す,灯台の一階に、見覚えのある男がいる。,,eventId=lighthouse_zelied_story_intro,log,map.js,mapActors.0.states.0.action,,
346,時期未確定・休眠/補助,進行制限ログ,大灯台,BIG_TOWER,1,,2階へ,灯台の裏設備を知る者に話を聞いた方がよさそうだ。,"(19,4)",requiredFlag=zeliedLighthouseIntroSeen,lockedLog,map.js,floorLinks.1,,
347,時期未確定・休眠/補助,マップログ,最果ての祠,TRIAL_ISLAND,MAP000029-00,,,口を結んだ吽形の守護像が、静かに祠の奥を守っている。,"(14,7)",,log,map.js,blockingObjects.1,,
348,時期未確定・休眠/補助,マップログ,最果ての祠,TRIAL_ISLAND,MAP000029-00,,,口を開いた阿形の守護像が、挑む者の覚悟を見定めている。,"(10,7)",,log,map.js,blockingObjects.0,,
349,時期未確定・休眠/補助,マップログ,最果ての祠,TRIAL_ISLAND,MAP000029-00,,中間試練に挑む,祠を満たす霊光が、自らの殻を破ろうとする者の魂へ応える。,"(12,3)",,log,map.js,mapActions.0,,
350,時期未確定・休眠/補助,マップログ,朽ちた祠,RUINED_SHRINE,MAP000036-00,,石碑に触れる,石碑からただならぬ気配があふれ出した……,"(9,4)",monsterId=902000,log,map.js,mapActions.0,,
351,時期未確定・休眠/補助,確認文,朽ちた祠,RUINED_SHRINE,MAP000036-00,,石碑に触れる,『災厄の楔』が石碑に呼応している……<br>ギルガメッシュに挑みますか？<br><span style='color:#f44; font-size:11px;'>※この戦いからは逃げられません</span>,"(9,4)",monsterId=902000,confirmText,map.js,mapActions.0,,
352,時期未確定・休眠/補助,進行制限ログ,次元牢獄クロノアビス,CHRONO_ABYSS,7,,終焉の祭壇へ進む,亀裂の縁で六色の光が散り、道はまだ形を保てない。,"(14,19)","requiredFlags=['abyssIlluminaciaDefeated', 'abyssAllSpiritTrialsCleared', 'abyssCycleCrystalCreated']",lockedLog,map.js,floorLinks.1,,
353,時期未確定・休眠/補助,マップログ,混沌魔城レガシオン 地下牢,LEGACION_PRISON,MAP000058-00,,,錆びた牢門が行く手を塞いでいる。,"(4,5)",,log,map.js,blockingObjects.0,,
354,時期未確定・休眠/補助,マップログ,混沌魔城レガシオン 地下牢,LEGACION_PRISON,MAP000058-00,,,錆びた牢門が行く手を塞いでいる。,"(18,5)",,log,map.js,blockingObjects.1,,
355,時期未確定・休眠/補助,マップログ,混沌魔城レガシオン 地下牢,LEGACION_PRISON,MAP000058-00,,,錆びた牢門が行く手を塞いでいる。,"(4,9)",,log,map.js,blockingObjects.2,,
356,時期未確定・休眠/補助,マップログ,混沌魔城レガシオン 地下牢,LEGACION_PRISON,MAP000058-00,,,錆びた牢門が行く手を塞いでいる。,"(18,9)",,log,map.js,blockingObjects.3,,
357,時期未確定・休眠/補助,マップログ,混沌魔城レガシオン 地下牢,LEGACION_PRISON,MAP000058-00,,牢内を調べる,湿った石床に、古い鎖だけが残されている。,"(18,5)",,log,map.js,mapActions.2,,
358,時期未確定・休眠/補助,マップログ,混沌魔城レガシオン 地下神殿,LEGACION_TEMPLE,MAP000059-00,,封印門を開く,混沌の結晶片が封印門に共鳴し、次元を隔てていた鎖がほどけた。,"(10,3)",,log,map.js,mapActions.0,,
359,時期未確定・休眠/補助,マップログ,混沌魔城レガシオン 東塔,LEGACION_EAST_TOWER,MAP000064-00,,東塔の頂を調べる,北の空に、夢幻回廊の輪郭だけが揺れている。,"(8,2)",,log,map.js,mapActions.1,,
360,時期未確定・休眠/補助,マップログ,混沌魔城レガシオン 西塔,LEGACION_WEST_TOWER,MAP000063-00,,西塔の頂を調べる,崩れた狭間から、城下町と閉ざされた南の荒野が見える。,"(8,2)",,log,map.js,mapActions.1,,
361,時期未確定・休眠/補助,マップログ,禁則地グレゼリア,GREZELIA_FORBIDDEN,1,,ミネルバの作戦を聞く,ミネルバが、禁則術式の継ぎ目を読み解いている。,,questId=ryu_minerva_grezelia,log,map.js,mapActors.1.states.0.action,,
362,時期未確定・休眠/補助,マップログ,禁則地グレゼリア,GREZELIA_FORBIDDEN,1,,リュウの作戦を聞く,リュウが、禁則術式の崩し方を探っている。,,questId=ryu_minerva_grezelia,log,map.js,mapActors.0.states.0.action,,
363,時期未確定・休眠/補助,移動・操作メッセージ,禁則地グレゼリア,GREZELIA_FORBIDDEN,1,grezelia_rule,,禁則の番人が迫る！,"(26,21)",,message,map.js,tileEffects.2,,
364,時期未確定・休眠/補助,移動・操作メッセージ,禁則地グレゼリア,GREZELIA_FORBIDDEN,1,,,禁則式が反転した。,"(25,6)",,message,map.js,tileEffects.1,,
365,時期未確定・休眠/補助,移動・操作メッセージ,禁則地グレゼリア,GREZELIA_FORBIDDEN,1,,,禁則式が座標を奪った。,"(6,6)",,message,map.js,tileEffects.0,,
366,時期未確定・休眠/補助,マップログ,禁則地グレゼリア,GREZELIA_FORBIDDEN,2,,禁奥の脈動を読む,床下で、研究棟の心臓のような魔力が脈打っている。,"(16,23)",,log,map.js,mapActions.0,,
367,時期未確定・休眠/補助,移動・操作メッセージ,禁則地グレゼリア,GREZELIA_FORBIDDEN,2,,,術式が再び反転した。,"(26,17)",,message,map.js,tileEffects.1,,
368,時期未確定・休眠/補助,移動・操作メッセージ,禁則地グレゼリア,GREZELIA_FORBIDDEN,2,,,術式が進行方向を反転した。,"(6,17)",,message,map.js,tileEffects.0,,
369,時期未確定・休眠/補助,調査ログ,禁則地グレゼリア,GREZELIA_FORBIDDEN,2,,外殻術式を破る,リュウとミネルバが、幾重にも絡む禁則術式を押さえている。,"(16,4)",requiredFlag=darkCastleCleared; questId=ryu_minerva_grezelia; monsterId=301100,inspectLog,map.js,bosses.0,,
370,時期未確定・休眠/補助,進行制限ログ,禁則地グレゼリア,GREZELIA_FORBIDDEN,2,,零式禁則層へ,二重の禁則封印が道を閉ざしている。,"(28,23)",requiredFlag=grezeliaOuterSealBroken,lockedLog,map.js,floorLinks.1,,
371,時期未確定・休眠/補助,マップログ,禁則地グレゼリア,GREZELIA_FORBIDDEN,3,,禁則の声に応える,最深部から、ゼノンの声が低く響いている。,,questId=zenon_hidden_grezelia,log,map.js,mapActors.0.states.0.action,,
372,時期未確定・休眠/補助,移動・操作メッセージ,禁則地グレゼリア,GREZELIA_FORBIDDEN,3,grezelia_zero_executor,,零式執行者が二歩ずつ迫る！,"(17,15)",,message,map.js,tileEffects.2,,
373,時期未確定・休眠/補助,移動・操作メッセージ,禁則地グレゼリア,GREZELIA_FORBIDDEN,3,,,零式術式が再反転した。,"(17,11)",,message,map.js,tileEffects.1,,
374,時期未確定・休眠/補助,移動・操作メッセージ,禁則地グレゼリア,GREZELIA_FORBIDDEN,3,,,零式術式が左右を入れ替えた。,"(6,8)",,message,map.js,tileEffects.0,,
375,時期未確定・休眠/補助,調査ログ,禁則地グレゼリア,GREZELIA_FORBIDDEN,3,,零式禁則試練に挑む,禁則の底で、意志を持つ闇がこちらを見返している。,"(17,4)",requiredFlag=grezeliaOuterSealBroken; questId=zenon_hidden_grezelia; monsterId=401180,inspectLog,map.js,bosses.0,,
376,時期未確定・休眠/補助,マップログ,終焉の祭壇,FINAL_ALTAR,MAP000057-01,,さらに深い亀裂を調べる,祭壇の奥に、底の知れない亀裂が広がっている。,"(19,1)",requiredFlag=abyssEpilogueSeen; eventId=abyss_postgame_crack,log,map.js,mapActions.0,,
377,時期未確定・休眠/補助,利用不可メッセージ,終焉の祭壇,FINAL_ALTAR,MAP000057-01,,さらに深い亀裂を調べる,亀裂はまだ固く閉ざされている。,"(19,1)",requiredFlag=abyssEpilogueSeen; eventId=abyss_postgame_crack,lockedText,map.js,mapActions.0,,
378,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,亀裂だらけの柱が、奇跡的に立ち続けている。,"(4,4)",,log,map.js,blockingObjects.12,,
379,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,倒れた柱が斜めに通路を塞いでいる。,"(12,9)",,log,map.js,blockingObjects.16,,
380,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,倒れた柱が斜めに通路を塞いでいる。,"(11,10)",,log,map.js,blockingObjects.17,,
381,時期未確定・休眠/補助,マップログ,統合の祭壇,ABYSS_FIELD,MAP000032-00,,,六角形の窪みには、プリズムらしき傷跡がある。,"(11,7)",,log,map.js,blockingObjects.21,,
