時系列No,進行目安,区分,地域・クエスト,会話ID,name,text,charId,行,イベントID,条件・演出備考,参照状態,source,修正案,編集メモ
872,第7段階 光の宮殿・結晶樹,深淵・追加ストーリー,,ABYSS_CYCLE_CRYSTAL_FINAL_ARRAY_PHASE17,システム,祭壇を覆っていた黒い紋様に、細い亀裂が走った。,,5/5,abyss_vegnasis_clear,event=abyss_vegnasis_clear; actions=CONV:ABYSS_VEGNASIS_CLEAR -> FLAG(key=abyssVegnasisDefeated) -> CONV:ABYSS_CYCLE_CRYSTAL_FINAL_ARRAY_PHASE17 -> FLAG(key=abyssCycleCrystalFinalArrayCountered) -> CONV:ABYSS_AZELGARAG -> BOSS(value=302100),現行参照,story.js:,,
873,第7段階 光の宮殿・結晶樹,深淵・追加ストーリー,,ABYSS_SPIRIT_TRIAL_LIGHT_PARTY_INTRO_PHASE17,ルーナ,「光は善を名乗るだけでは足りない」……うん。,,1/3,abyss_spirit_trial_light_intro,event=abyss_spirit_trial_light_intro; actions=CONV:ABYSS_SPIRIT_TRIAL_LIGHT_INTRO -> IF_ALLY -> CHOICE,現行参照,story.js:,,
874,第7段階 光の宮殿・結晶樹,深淵・追加ストーリー,,ABYSS_SPIRIT_TRIAL_LIGHT_PARTY_INTRO_PHASE17,ルーナ,"私、それを知るのにずいぶん遠回りした。
正しいつもりで、傷つけた人もいる。",,2/3,abyss_spirit_trial_light_intro,event=abyss_spirit_trial_light_intro; actions=CONV:ABYSS_SPIRIT_TRIAL_LIGHT_INTRO -> IF_ALLY -> CHOICE,現行参照,story.js:,,
875,第7段階 光の宮殿・結晶樹,深淵・追加ストーリー,,ABYSS_SPIRIT_TRIAL_LIGHT_PARTY_INTRO_PHASE17,ルーナ,だから今度は、光って名前じゃなく、私が誰に手を伸ばすかで答える。,,3/3,abyss_spirit_trial_light_intro,event=abyss_spirit_trial_light_intro; actions=CONV:ABYSS_SPIRIT_TRIAL_LIGHT_INTRO -> IF_ALLY -> CHOICE,現行参照,story.js:,,
876,第7段階 光の宮殿・結晶樹,深淵・追加ストーリー,,ABYSS_SPIRIT_TRIAL_LIGHT_PARTY_VICTORY_PHASE17,ルーナ,ありがとう。この光を「正しさ」の証明にはしない。誰かを照らすために使うね。,,1/1,abyss_spirit_trial_light_victory,event=abyss_spirit_trial_light_victory; actions=CONV:ABYSS_SPIRIT_TRIAL_LIGHT_VICTORY -> IF_ALLY -> ABYSS_SPIRIT_TRIAL_COMPLETE -> EVENT,現行参照,story.js:,,
877,第7段階 光の宮殿・結晶樹,深淵・追加ストーリー,,ABYSS_SPIRIT_TRIAL_LIGHT_INTRO,光の大精霊,"光は善を名乗るだけでは足りません。
影を見つめ、それでも手を伸ばせる者かを確かめます。",,1/2,abyss_spirit_trial_light_intro,event=abyss_spirit_trial_light_intro; actions=CONV:ABYSS_SPIRIT_TRIAL_LIGHT_INTRO -> IF_ALLY -> CHOICE,現行参照,story.js:,,
878,第7段階 光の宮殿・結晶樹,深淵・追加ストーリー,,ABYSS_SPIRIT_TRIAL_LIGHT_INTRO,システム,光のプリズムが、逃げ場のない白光を放っている。,,2/2,abyss_spirit_trial_light_intro,event=abyss_spirit_trial_light_intro; actions=CONV:ABYSS_SPIRIT_TRIAL_LIGHT_INTRO -> IF_ALLY -> CHOICE,現行参照,story.js:,,
879,第7段階 光の宮殿・結晶樹,深淵・追加ストーリー,,ABYSS_SPIRIT_TRIAL_LIGHT_RETRY,光の大精霊,"敗北を隠して光を装う必要はありません。
弱さを知った今のあなたたちを、改めて見定めましょう。",,1/1,abyss_spirit_trial_light_retry,event=abyss_spirit_trial_light_retry; actions=CONV:ABYSS_SPIRIT_TRIAL_LIGHT_RETRY -> CHOICE,現行参照,story.js:,,
880,第7段階 光の宮殿・結晶樹,深淵・追加ストーリー,,ABYSS_SPIRIT_TRIAL_LIGHT_VICTORY,光の大精霊,"影を切り捨てず、互いを照らして進みましたね。
その選択を認め、光の加護を授けます。",,1/1,abyss_spirit_trial_light_victory,event=abyss_spirit_trial_light_victory; actions=CONV:ABYSS_SPIRIT_TRIAL_LIGHT_VICTORY -> IF_ALLY -> ABYSS_SPIRIT_TRIAL_COMPLETE -> EVENT,現行参照,story.js:,,
881,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_MINERVA_MEETING,ミネルバ,……来た。ソフィア、やっぱり人を寄越したんだ。,206,1/5,crystal_tree_minerva_meeting,event=crystal_tree_minerva_meeting; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3176,,
882,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_MINERVA_MEETING,ケイト,あなたがミネルバさん？　レオンさんと、ルーナさんを診てほしいんです。,104,2/5,crystal_tree_minerva_meeting,event=crystal_tree_minerva_meeting; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3176,,
883,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_MINERVA_MEETING,ミネルバ,先にルーナ。脈が樹の根と喧嘩してる。そこに座って。,206,3/5,crystal_tree_minerva_meeting,event=crystal_tree_minerva_meeting; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3176,,
884,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_MINERVA_MEETING,ルーナ,……はい。,401,4/5,crystal_tree_minerva_meeting,event=crystal_tree_minerva_meeting; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3176,,
885,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_MINERVA_MEETING,ミネルバ,歩けるなら、自分で歩いて。根元まで行くよ。,206,5/5,crystal_tree_minerva_meeting,event=crystal_tree_minerva_meeting; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3176,,
886,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_ROOT_RITUAL,ミネルバ,レオンをそこへ。ルーナは私の手を離さないで。,206,1/5,crystal_tree_root_ritual,"event=crystal_tree_root_ritual; actions=FLAG(key=crystalTreeRootRitualStarted) -> FLAG(key=crystalTreeDefenseStarted) -> WORLD_STATE(value=4,key=crystalTreeState) -> SUB(value=10) -> CONV:CRYSTAL_TREE_ROOT_RITUAL -> BOSS(value=[652, 755, 652]); 結晶樹の秘跡 FMAP000073-00 / ミネルバに声をかける",現行参照,story.js:3183,,
887,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_ROOT_RITUAL,システム,根の奥で、何かが軋む。少し遅れて、複数の足音が近づいてきた。,,2/5,crystal_tree_root_ritual,"event=crystal_tree_root_ritual; actions=FLAG(key=crystalTreeRootRitualStarted) -> FLAG(key=crystalTreeDefenseStarted) -> WORLD_STATE(value=4,key=crystalTreeState) -> SUB(value=10) -> CONV:CRYSTAL_TREE_ROOT_RITUAL -> BOSS(value=[652, 755, 652]); 結晶樹の秘跡 FMAP000073-00 / ミネルバに声をかける",現行参照,story.js:3183,,
888,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_ROOT_RITUAL,魔人兵長,聖女を渡せ。教団にも、お前たちにも預けられん。,,3/5,crystal_tree_root_ritual,"event=crystal_tree_root_ritual; actions=FLAG(key=crystalTreeRootRitualStarted) -> FLAG(key=crystalTreeDefenseStarted) -> WORLD_STATE(value=4,key=crystalTreeState) -> SUB(value=10) -> CONV:CRYSTAL_TREE_ROOT_RITUAL -> BOSS(value=[652, 755, 652]); 結晶樹の秘跡 FMAP000073-00 / ミネルバに声をかける",現行参照,story.js:3183,,
889,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_ROOT_RITUAL,シャオ,またそれか。理由も言わずに連れていけると思うな。,105,4/5,crystal_tree_root_ritual,"event=crystal_tree_root_ritual; actions=FLAG(key=crystalTreeRootRitualStarted) -> FLAG(key=crystalTreeDefenseStarted) -> WORLD_STATE(value=4,key=crystalTreeState) -> SUB(value=10) -> CONV:CRYSTAL_TREE_ROOT_RITUAL -> BOSS(value=[652, 755, 652]); 結晶樹の秘跡 FMAP000073-00 / ミネルバに声をかける",現行参照,story.js:3183,,
890,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_ROOT_RITUAL,魔人兵長,光をここまで穢した者が、我らだと本気で思っているのか。,,5/5,crystal_tree_root_ritual,"event=crystal_tree_root_ritual; actions=FLAG(key=crystalTreeRootRitualStarted) -> FLAG(key=crystalTreeDefenseStarted) -> WORLD_STATE(value=4,key=crystalTreeState) -> SUB(value=10) -> CONV:CRYSTAL_TREE_ROOT_RITUAL -> BOSS(value=[652, 755, 652]); 結晶樹の秘跡 FMAP000073-00 / ミネルバに声をかける",現行参照,story.js:3183,,
891,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_POST_CLEAR_CHECKPOINT,ミネルバ,まだ根の中に残ってるものがある。……少し、考えさせて。,206,1/1,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3200,,
892,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,あ、ちょうどいい。半分が八割くらいになった。,206,1/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
893,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,シャオ,残り二割は？,105,2/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
894,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,これから試す。,206,3/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
895,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,シャオ,試すのか……。,105,4/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
896,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,アルス,その前に教えてくれ。どうして、ここなら二人を治せると思った？,301,5/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
897,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,レイラ。,206,6/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
898,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,アルス,レイラ？,301,7/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
899,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ケイト,……結晶樹の葉で、レイラさんは回復した。,104,8/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
900,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,そう。レオンには足りなかった。でも、効かなかったわけじゃない。,206,9/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
901,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ケイト,少しだけ、脈の濁りが弱まった……。,104,10/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
902,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,だったら葉っぱが間違いなんじゃない。足りないの。,206,11/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
903,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,シャオ,それだけで、ここまで来たのか？,105,12/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
904,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,それだけって、すごい手掛かりだよ？,206,13/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
905,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,レイラは脈。レオンは脈と呼吸と体温。ルーナはそれに加えて、反応も鈍い。眠っても戻らない。,206,14/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
906,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ルーナ,……はい。目を閉じても、ずっと身体が重くて。,401,15/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
907,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,普通なら別の不調に見える。でも三人とも、同じ人に同じ頃に壊されてる。,206,16/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
908,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,病気が六つあるんじゃない。一つの流れが、あちこちで引っかかってる。,206,17/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
909,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ケイト,流れ……？,104,18/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
910,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,人の中にもあるんだよ。小さいけどね。別々に働いて、順番に渡して、また戻ってくる。,206,19/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
911,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,アルス,ジャスパーは、それを……？,301,20/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
912,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,力を奪っただけじゃない。別々に流れてたものを、途中で無理やり一つに寄せたみたい。,206,21/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
913,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ケイト,プリズムの……統合？,104,22/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
914,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,似てる。似てるだけ。まだ断定はしない。,206,23/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
915,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,でも、人ひとりの中へ押し込んだらどう壊れるかって聞かれたら――たぶん、こうなる。,206,24/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
916,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,だから、足すんじゃない。もう持ってるものを、ちゃんと巡れるように戻す。,206,25/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
917,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,じゃ、始めようか。,206,26/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
918,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,シャオ,……本当に八割で始めるのか？,105,27/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
919,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,残り二割は、始めないと分からないでしょ。,206,28/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
920,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,六属性秘薬・水,,,29/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
921,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,システム,水の台座から淡い青が床の溝を走る。中央の器で、乾いていた薬草片がゆっくり開いた。,,30/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
922,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,最初は水。育つ場所がなきゃ、何も始まらないから。,206,31/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
923,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ケイト,薬の材料を……受け止めてる。,104,32/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
924,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,うん。器を作る。,206,33/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
925,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,六属性秘薬・風,,,34/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
926,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,システム,風の台座が灯る。密閉された根源域を柔らかな風が巡り、器から立った香りを運んでいく。,,35/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
927,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,次、風。離れてるものを運ぶ。繋ぐ。,206,36/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
928,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ルーナ,……この匂い……。,401,37/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
929,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,アルス,ルーナ？,301,38/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
930,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,システム,濡れた土。小さな水音。木の葉が擦れる音。風に揺れる白い布――ルーナは少しだけ目を閉じた。,,39/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
931,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ルーナ,……知ってる気がします。,401,40/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
932,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,どんな――,206,41/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
933,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,システム,問いかけかけたミネルバは、ルーナの表情を見て止まった。,,42/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
934,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,ミネルバ,……ううん。今は追わなくていい。逃げなかった分だけ、覚えといて。,206,43/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
935,第7段階 光の宮殿・結晶樹,メイン・イベント,結晶樹の秘跡 FMAP000073-00,CRYSTAL_TREE_SIX_ELEMENT_RITUAL,六属性秘薬・光,,,44/145,crystal_tree_post_clear_checkpoint,event=crystal_tree_post_clear_checkpoint; actions=IF_FLAG; 結晶樹の秘跡 FMAP000073-00 / ミネルバと話す,現行参照,story.js:3203,,
